Date,Open,High,Low,Close,Adj Close,Volume
2016-11-07,430.833008,443.700012,430.833008,438.000000,367.110474,138596
2016-11-08,440.000000,445.166992,436.333008,440.467010,369.178192,80784
2016-11-09,400.000000,445.333008,400.000000,440.500000,369.205841,145492
2016-11-10,436.666992,448.566986,436.666992,443.200012,371.468872,172869
2016-11-11,437.933014,440.066986,430.032990,432.967010,362.892059,116226
2016-11-15,430.867004,434.766998,414.266998,429.600006,360.070007,252854
2016-11-16,431.333008,440.666992,419.399994,423.100006,354.622009,157196
2016-11-17,423.100006,429.000000,414.367004,423.733002,355.152527,810420
2016-11-18,423.899994,430.967010,422.899994,428.399994,359.064178,142096
2016-11-21,431.933014,431.933014,420.566986,422.399994,354.035309,203824
2016-11-22,422.532990,429.532990,422.532990,428.032990,358.756622,71992
2016-11-23,433.266998,433.266998,416.433014,422.766998,354.342896,297566
2016-11-24,419.333008,429.166992,418.032990,426.032990,357.080292,115665
2016-11-25,426.666992,431.500000,424.000000,426.433014,357.415558,70232
2016-11-28,426.433014,442.566986,426.433014,434.132996,363.869324,162759
2016-11-29,442.000000,442.000000,428.000000,428.799988,359.399445,95360
2016-11-30,430.000000,433.700012,424.166992,429.367004,359.874695,141628
2016-12-01,426.666992,426.666992,412.867004,419.933014,351.967560,369132
2016-12-02,414.000000,416.000000,404.333008,406.700012,340.876312,750928
2016-12-05,405.333008,411.299988,399.333008,403.266998,337.998962,148812
2016-12-06,406.600006,410.700012,403.333008,408.899994,342.720245,125160
2016-12-07,410.666992,422.666992,410.333008,421.333008,353.140991,240840
2016-12-08,424.166992,427.967010,421.666992,424.933014,356.158386,126249
2016-12-09,425.933014,426.600006,417.000000,423.500000,354.957306,457416
2016-12-12,422.733002,422.733002,406.399994,407.700012,341.714508,143138
2016-12-13,408.066986,419.299988,407.000000,418.032990,350.375061,97059
2016-12-14,419.333008,421.933014,412.000000,413.799988,346.827179,97876
2016-12-15,413.333008,420.333008,406.399994,410.066986,343.698364,314150
2016-12-16,409.333008,411.000000,402.899994,403.566986,338.250397,871900
2016-12-19,410.600006,415.666992,406.733002,407.867004,341.854431,114576
2016-12-20,408.000000,411.000000,406.333008,407.733002,341.742126,91700
2016-12-21,407.333008,410.566986,402.066986,409.066986,342.860199,157191
2016-12-22,410.666992,410.666992,404.000000,408.000000,341.965912,75258
2016-12-23,406.666992,410.467010,405.000000,407.500000,341.546844,50895
2016-12-26,406.666992,407.333008,400.867004,401.733002,336.713226,58736
2016-12-27,401.733002,411.066986,401.000000,410.399994,343.977478,69654
2016-12-28,412.666992,413.000000,407.299988,410.000000,343.642212,922514
2016-12-29,410.666992,430.433014,409.532990,426.433014,357.415558,201330
2016-12-30,425.000000,426.000000,420.666992,423.032990,354.565887,141344
2017-01-02,424.666992,429.733002,423.333008,425.500000,356.633606,215216
2017-01-03,429.066986,438.600006,424.333008,435.766998,365.238861,304850
2017-01-04,430.132996,440.666992,428.066986,437.166992,366.412292,770910
2017-01-05,437.333008,450.600006,435.600006,447.266998,374.877625,156086
2017-01-06,446.000000,450.666992,440.733002,442.333008,370.742188,65724
2017-01-09,444.000000,444.000000,434.100006,435.233002,364.791290,84920
2017-01-10,436.799988,450.333008,436.799988,438.967010,367.920959,115088
2017-01-11,438.967010,443.266998,437.032990,440.532990,369.233490,120930
2017-01-12,441.333008,445.733002,438.433014,439.467010,368.340027,163524
2017-01-13,440.000000,443.000000,434.200012,438.333008,367.389618,101394
2017-01-16,439.000000,447.566986,436.766998,445.500000,373.396576,89318
2017-01-17,446.000000,448.500000,440.833008,443.233002,371.496521,73276
2017-01-18,440.666992,443.233002,433.632996,436.799988,366.104645,112340
2017-01-19,437.666992,450.933014,436.333008,449.100006,376.413971,172426
2017-01-20,448.433014,450.666992,441.799988,443.333008,371.580292,70472
2017-01-23,443.333008,454.967010,442.367004,450.899994,377.922638,207238
2017-01-24,451.333008,458.600006,450.666992,454.899994,381.275208,143444
2017-01-25,454.899994,477.333008,452.333008,472.967010,396.418152,242043
2017-01-27,474.000000,484.000000,461.632996,470.933014,394.713318,234250
2017-01-30,471.333008,472.333008,462.799988,468.867004,392.981689,82440
2017-01-31,468.000000,469.000000,450.933014,454.132996,380.632416,202100
2017-02-01,455.833008,464.500000,449.333008,461.967010,387.198486,126189
2017-02-02,462.000000,475.000000,462.000000,467.766998,392.059723,143673
2017-02-03,467.766998,468.666992,460.000000,466.132996,390.690216,144246
2017-02-06,466.666992,473.967010,465.566986,468.700012,392.841766,101872
2017-02-07,468.733002,481.566986,468.733002,475.600006,398.624939,290034
2017-02-08,475.333008,484.666992,475.333008,479.433014,401.837646,119908
2017-02-09,485.532990,486.266998,480.433014,483.500000,405.246368,415538
2017-02-10,489.632996,490.000000,474.032990,476.166992,399.100189,145134
2017-02-13,482.000000,482.000000,473.333008,476.233002,399.155487,94034
2017-02-14,476.333008,476.333008,458.266998,461.132996,386.499451,171633
2017-02-15,462.000000,466.600006,445.700012,450.032990,377.195923,156978
2017-02-16,449.333008,449.967010,442.333008,446.867004,374.542358,190886
2017-02-17,447.799988,455.700012,443.500000,452.899994,379.598907,167061
2017-02-20,452.899994,468.000000,452.899994,466.933014,391.360748,179016
2017-02-21,474.000000,478.032990,468.299988,469.833008,393.791351,481448
2017-02-22,471.266998,477.600006,469.367004,475.933014,398.904083,187204
2017-02-23,474.066986,480.632996,471.333008,477.467010,400.189819,175592
2017-02-27,477.467010,482.666992,467.333008,472.000000,395.607574,205232
2017-02-28,461.200012,463.166992,442.166992,446.399994,390.274567,1136020
2017-03-01,447.333008,451.333008,435.632996,439.566986,384.300659,1048716
2017-03-02,441.299988,443.399994,420.733002,423.733002,370.457428,541412
2017-03-03,423.733002,423.867004,410.600006,422.166992,369.088318,1083580
2017-03-06,422.666992,428.933014,421.733002,425.132996,371.681427,518548
2017-03-07,425.132996,432.666992,425.132996,430.233002,376.140228,340416
